,id,name,corp_id,corp_name,at_present_fouds_id,at_present_fouds_name,job_duration_days,at_present_total_size,at_present_best_profit,at_present_fouds_num
1294,30538860,乔嘉麒,80356155,永赢基金,"002521,002522,003898,004230,005507,005508,006092,006093,006094,006095,006237,006443,006444,007086,009932,012442","永赢双利债券A,永赢双利债券C,永赢丰益债券,永赢添益债券,永赢丰利债券A,永赢丰利债券C,永赢荣益债券A,永赢荣益债券C,永赢泰益债券A,永赢泰益债券C,永赢嘉益债券,永赢裕益债券A,永赢裕益债券C,永赢汇利六个月定开债,永赢稳健增长一年持有混合A,永赢稳健增长一年持有混合E",1480,23540000000.0,26.82,16
1295,30533599,乔亮,80000240,万家基金,"002670,002671,004641,005313,005314,006729,006730,009981,009982,010690,010691","万家沪深300指数增强A,万家沪深300指数增强C,万家量化睿选混合,万家中证1000指数增强A,万家中证1000指数增强C,万家中证500指数增强A,万家中证500指数增强C,万家创业板指数增强A,万家创业板指数增强C,万家互联互通核心资产量化A,万家互联互通核心资产量化C",663,1745000000.0,61.4,11
1296,30683872,乔敏,80356155,永赢基金,009140,永赢竞争力精选混合,607,88000000.0,77.69,1
1297,30724585,齐宁,80000226,博时基金,"005482,005483","博时创新驱动混合A,博时创新驱动混合C",136,31000000.0,10.22,2
1298,30164233,綦鹏,80508384,恒生前海基金,"009301,009302,009303,009304","恒生前海短债债券A,恒生前海短债债券C,恒生前海恒颐五年定开债A,恒生前海恒颐五年定开债C",1137,2622000000.0,8.36,4
1299,30063126,乔培涛,80000227,长盛基金,"000534,000535,002789,002790,160812","长盛高端装备混合,长盛航天海工装备灵活配置混合,长盛同享灵活配置A,长盛同享灵活配置C,长盛同益成长回报(LOF)",1755,1011000000.0,107.81,5
1300,30544882,乔迁,80036742,兴证全球基金,"163415,340008","兴全商业模式优选混合,兴全有机增长混合",1432,20909000000.0,157.33,2
1301,30429460,秦庆,80404011,申万宏源证券,970015,申万红利成长灵活配置混合,146,91000000.0,2.45,1
1302,30664765,曲泉儒,80049689,诺安基金,"006005,006006,320001,320018,320021","诺安鼎利混合A,诺安鼎利混合C,诺安平衡混合,诺安新动力混合,诺安双利债券发起",787,2646000000.0,85.05,5
1303,30732289,秦石,80000037,平安证券,"970011,970012,970013,970014","平安安赢添利半年滚动持有A,平安安赢添利半年滚动持有B,平安安赢添利半年滚动持有C,平安安赢添利半年滚动持有D",33,-100000000.0,0.12,4
1304,30728868,祁善斌,80355783,国寿安保基金,"001521,008082,008083","国寿安保成长优选股票,国寿安保研究精选混合A,国寿安保研究精选混合C",63,573000000.0,9.55,3
1305,30659220,曲少杰,80000239,长城基金,007132,长城港股通混合,719,209000000.0,56.96,1
1306,30283501,钱思佳,80145102,东方红资产管理,"007887,169107,910007","东方红启元三年持有混合B,东方红恒阳五年定开混合,东方红启元三年持有混合A",627,11024000000.0,65.92,3
1307,30563666,曲盛伟,80000223,嘉实基金,"000985,070021","嘉实逆向策略股票,嘉实主题新动力混合",1280,2061000000.0,138.53,2
1308,30722034,秦闻,80091787,浦银安盛基金,"519172,519173","浦银安盛睿智精选混合A,浦银安盛睿智精选混合C",166,42000000.0,9.39,2
1309,30285654,钱文成,80341238,中融基金,"009675,009676,010367,010368,010683,010684,011353,011354,011440,011441","中融融慧双欣一年定开债券A,中融融慧双欣一年定开债券C,中融景瑞一年持有混合A,中融景瑞一年持有混合C,中融景颐6个月持有期混合A,中融景颐6个月持有期混合C,中融景盛一年持有混合A,中融景盛一年持有混合C,中融内需价值一年持有混合A,中融内需价值一年持有混合C",2933,7617000000.0,87.22,10
1310,30131622,钱文礼,80000227,长盛基金,"011181,011182,080012","长盛成长龙头混合A,长盛成长龙头混合C,长盛电子信息产业混合",1326,1203000000.0,131.18,3
1311,30691494,齐炜中,80000225,大成基金,"002319,090016,519019","大成一带一路灵活配置混合,大成消费主题混合,大成景阳领先混合",497,1002000000.0,108.92,3
1312,30285112,钱鑫,80000247,泰信基金,"001978,290003,290008","泰信互联网+混合,泰信双息双利债券,泰信发展主题混合",2582,206999999.99999997,126.05,3
1313,30719509,钱鑫,80036742,兴证全球基金,340008,兴全有机增长混合,187,2745000000.0,6.05,1
1314,30728392,齐兴方,80074234,信达澳银基金,610002,信达澳银精华配置混合,69,540000000.0,9.81,1
1315,30422170,秦绪文,80145102,东方红资产管理,"002803,169102","东方红沪港深混合,东方红睿阳三年混合",1970,9088000000.0,156.46,2
1316,30198132,曲扬,80280038,前海开源基金,"001102,001679,001837,001874,001875,001986,002079,005453,005454,010717,010718,011870,011871","前海开源国家比较优势混合A,前海开源中国稀缺资产混合A,前海开源沪港深蓝筹精选混合,前海开源沪港深价值精选混合,前海开源沪港深优势精选混合A,前海开源人工智能主题混合,前海开源中国稀缺资产混合C,前海开源医疗健康A,前海开源医疗健康C,前海开源优质企业6个月持有混合A,前海开源优质企业6个月持有混合C,前海开源国家比较优势混合C,前海开源沪港深优势精选混合C",2768,59064000000.0,343.49,13
1317,30342432,秦毅,80424273,泓德基金,"001695,001705,002742,002743,002846,009014,011783","泓德泓业混合,泓德战略转型股票,泓德裕祥债券A,泓德裕祥债券C,泓德泓华混合,泓德睿泽混合,泓德睿源三年持有期混合",1473,29272000000.000004,258.44,7
1318,30679166,戚彧,80404004,长江证券(上海),007414,长江安盈中短债六个月定开,69,294000000.0,0.91,1
1319,30704737,邱延冰,80365986,中金基金,"005005,005006,005489,005490,006277,006278,009843,010185,010218,010951,010952,011293,011703","中金金泽A,中金金泽C,中金衡优灵活配置混合A,中金衡优灵活配置混合C,中金瑞和A,中金瑞和C,中金泰顺12个月定开混合,中金瑞康灵活配置混合,中金瑞泰灵活配置混合,中金成长精选混合A,中金成长精选混合C,中金恒远一年持有期混合,中金鑫瑞优选一年持有混合",347,2194000000.0,24.08,13
1320,30361764,钱亚风云,80048752,中银基金,"000057,001677,010812,012236,163803","中银消费主题混合,中银战略新兴产业股票A,中银战略新兴产业股票C,中银持续增长混合C,中银持续增长混合A",2149,2464000000.0,198.8,5
1321,30079449,邱宇航,80065990,建信基金,"000056,002573,530005","建信消费升级混合,建信汇利灵活配置混合,建信优化配置混合",3626,1912000000.0,223.3,3
1322,30711582,邱紫华,80488954,富荣基金,"004790,004791","富荣中证500指数A,富荣中证500指数C",292,8000000.0,6.1,2
1323,30493964,漆志伟,80404004,长江证券(上海),"003336,003363,003364,003365,005158,006135,006618,006619,007414,009700,009701,010251,010252","长江收益增强债券,长江乐享货币A,长江乐享货币B,长江乐享货币C,长江乐盈定开债发起式,长江乐鑫定开债,长江可转债债券A,长江可转债债券C,长江安盈中短债六个月定开,长江添利混合A,长江添利混合C,长江安享纯债18个月定开债A,长江安享纯债18个月定开债C",1701,12402000000.0,32.44,13
1324,30285153,芮晨,80064562,交银施罗德基金,519767,交银科技创新灵活配置混合,2219,224000000.00000003,110.47,1
1325,30429665,任翀,80061674,泰康资产,"002331,002528,002529,003078,005054,005172,006207,006208,006865,006978,006979","泰康安泰回报混合,泰康安益纯债A,泰康安益纯债C,泰康安惠纯债债券A,泰康瑞坤纯债债券,泰康安悦纯债3月定开债券,泰康裕泰债券A,泰康裕泰债券C,泰康安惠纯债债券C,泰康安欣纯债债券A,泰康安欣纯债债券C",1909,8689000000.0,42.95,11
1326,30588921,任慧峰,80075936,中邮基金,"000545,009488,009489","中邮核心竞争力灵活配置混合,中邮价值精选混合A,中邮价值精选混合C",1028,677000000.0,75.69,3
1327,30403971,任慧娟,80061674,泰康资产,"001477,001478,001910,002546,002934,002935,002986,004861,004862,004863,004864,009448,009449","泰康薪意保货币A,泰康薪意保货币B,泰康新机遇混合,泰康薪意保货币E,泰康恒泰回报混合A,泰康恒泰回报混合C,泰康丰盈债券,泰康现金管家货币A,泰康现金管家货币B,泰康现金管家货币C,泰康现金管家货币D,泰康申润一年持有期混合A,泰康申润一年持有期混合C",2014,16010000000.0,111.58,13
1328,30132083,冉凌浩,80000225,大成基金,"000834,008972,008973,096001,159740,160922,160924,160925","大成纳斯达克100,大成恒生综合中小型股指数C,大成中华沪深港300指数(LOF)C,大成标普500等权重指数,大成恒生科技ETF(QDII),大成恒生综合中小型股指数A,大成恒生指数,大成中华沪深港300指数(LOF)A",3580,2219000000.0,215.62,8
1329,30587927,任凭,80163340,安信基金,"000750,003402,003539,004167,005271,005272,005678,006839,006840,007099,007245,007246,010053,012161,012162,750006,750007","安信现金增利货币A,安信活期宝货币A,安信现金增利货币B,安信活期宝货币B,安信恒利增强债券A,安信恒利增强债券C,安信尊享添益债券A,安信聚利增强债券A,安信聚利增强债券C,安信尊享添益债券C,安信鑫日享中短债A,安信鑫日享中短债C,安信聚利增强债券B,安信招信一年持有混合A,安信招信一年持有混合C,安信现金管理货币A,安信现金管理货币B",1039,22268000000.0,8.1,17
